TEAM,CONF,G,W,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,POSTSEASON,SEED,Win PCT
Oregon St.,P12,31,11,46.5,49.6,20.8,18.2,25.3,30.6,33.9,33.9,N/A,N/A,35.48387097
UT Arlington,WAC,29,11,45.9,51.9,21.1,20.1,32.7,30.8,29.7,39.5,N/A,N/A,37.93103448
Idaho St.,BSky,30,11,50.8,51.4,17.2,17.8,24.6,27.2,28.9,35.5,N/A,N/A,36.66666667
Louisiana Monroe,SB,29,11,45.2,51.7,18.7,17.6,27.3,29.9,30,28.6,N/A,N/A,37.93103448
Valparaiso,MVC,31,11,49,51.5,18.1,15.6,22.5,24.5,27.9,31.8,N/A,N/A,35.48387097
Illinois St.,MVC,32,11,50.2,51.8,21.8,16.7,28.2,26.7,31.3,34,N/A,N/A,34.375
UMKC,Sum,30,11,43.4,50.1,19.9,17.3,35.9,29.4,33.3,39.4,N/A,N/A,36.66666667
Lindenwood,OVC,29,11,48.8,52.4,19.5,17.8,23,31,28.3,31.1,N/A,N/A,37.93103448
Cal St. Bakersfield,BW,31,11,44.6,51.1,19.8,20.5,27.2,28.4,29.4,43.6,N/A,N/A,35.48387097
Stony Brook,CAA,31,11,47.5,50.3,19.6,14,21.9,27.4,29.4,26.2,N/A,N/A,35.48387097
Lafayette,Pat,34,11,48.7,50.8,17.9,18.2,23.8,25.3,24.5,29.4,N/A,N/A,32.35294118
McNeese St.,Slnd,33,11,49,55,21.6,18.4,33.3,30.9,29.2,34.9,N/A,N/A,33.33333333
Manhattan,MAAC,29,12,49.2,51.3,19.8,20.5,26.6,34.2,31.5,30.5,N/A,N/A,41.37931034
Portland St.,BSky,29,12,49.6,55,16.8,21.3,24,31.4,34.8,46.6,N/A,N/A,41.37931034
South Dakota,Sum,29,12,50.1,52.7,17.3,14.4,24.9,27.1,28.1,31.8,N/A,N/A,41.37931034
Incarnate Word,Slnd,28,12,48.5,54.4,20,20.5,26.3,33.2,33.3,32.7,N/A,N/A,42.85714286
Northern Colorado,BSky,31,12,52.4,53.1,17.5,14,24.3,27,31.4,31.7,N/A,N/A,38.70967742
East Tennessee St.,SC,30,12,50.5,50.8,19.5,17.5,29.9,28.9,31.2,26.9,N/A,N/A,40
Miami OH,MAC,29,12,52,53.8,19.6,17.8,26.6,32.6,32.1,37.1,N/A,N/A,41.37931034
Illinois Chicago,MVC,31,12,48.7,51.2,18.3,19.6,22.7,30.3,34.1,33,N/A,N/A,38.70967742
Bucknell,Pat,31,12,51.3,51.2,20.2,15.4,25.4,25,26.9,27.7,N/A,N/A,38.70967742
New Orleans,Slnd,30,12,52.7,54.1,23.6,20.2,29.8,32.7,36.5,39.9,N/A,N/A,40
Bethune Cookman,SWAC,30,12,46.6,52.7,18.3,19.3,26.9,34.7,32.1,35.2,N/A,N/A,40
Mississippi,SEC,33,12,47.5,49.5,18.3,18,33.3,29.9,29.2,30.3,N/A,N/A,36.36363636
Northern Arizona,BSky,33,12,50.5,55.3,15.9,17.2,26.9,25.7,27.4,38.7,N/A,N/A,36.36363636
Jacksonville,ASun,26,13,50.6,49.8,19.1,14.3,23.9,25.7,22.8,27,N/A,N/A,50
Abilene Christian,WAC,26,13,49.2,56.5,17.3,23.3,25.5,28.6,32.3,45.6,N/A,N/A,50
Maine,AE,28,13,51.1,53.4,18.7,20.3,22.9,30,23,28.7,N/A,N/A,46.42857143
Jacksonville St.,ASun,28,13,50.5,52.5,20.2,16.5,29.4,24.1,31.8,29.5,N/A,N/A,46.42857143
Fairfield,MAAC,30,13,46,49.3,18.2,17.8,28.6,29.5,37.9,28.1,N/A,N/A,43.33333333
Binghamton,AE,29,13,49.5,50.5,19.4,15.1,28.7,27.3,28.2,35.4,N/A,N/A,44.82758621
St. Francis PA,NEC,29,13,51.9,51.9,18.3,14.7,25.3,28.9,32.8,29.9,N/A,N/A,44.82758621
Northern Illinois,MAC,30,13,52.2,50.7,20.3,18.6,25,32.8,34.3,35.8,N/A,N/A,43.33333333
Prairie View A&M,SWAC,30,13,44.8,48.2,19.6,21.2,31.7,28.7,33,41.8,N/A,N/A,43.33333333
Oakland,Horz,31,13,49.2,54.8,15.1,18.7,24.2,32.7,31.6,22.5,N/A,N/A,41.93548387
North Carolina A&T,CAA,29,13,47.4,50.6,17.5,15.7,24.6,30.2,30,28.5,N/A,N/A,44.82758621
Mount St. Mary's,MAAC,32,13,48.6,48.9,20.8,17.9,27.8,29.9,26,29.2,N/A,N/A,40.625
North Dakota,Sum,31,13,51,53.5,16.7,15.5,25.7,27.4,27.3,28,N/A,N/A,41.93548387
Marist,MAAC,33,13,47.9,47.9,18.1,16.8,25.9,28.9,28.9,28.4,N/A,N/A,39.39393939
Arkansas St.,SB,30,13,47.6,50.3,18.1,16.6,28.8,28,35.1,34.8,N/A,N/A,43.33333333
William & Mary,CAA,31,13,49.4,53.9,18.8,17,27.4,29.9,29.2,27.4,N/A,N/A,41.93548387
Texas A&M Commerce,Slnd,32,13,52.4,52.8,18.9,17.7,26.5,29.9,28.3,37.9,N/A,N/A,40.625
Loyola MD,Pat,31,13,51.3,55.5,20.4,20.2,26.6,28.7,28.2,29.8,N/A,N/A,41.93548387
Brown,Ivy,27,14,50.7,51.2,19,19.7,23.4,23.7,29.8,26.9,N/A,N/A,51.85185185
Harvard,Ivy,26,14,49.5,48.8,19.8,18.4,30.3,24.3,31.2,25,N/A,N/A,53.84615385
Morgan St.,MEAC,26,14,47.1,50.8,22,23.8,30.2,37.3,30.9,42.9,N/A,N/A,53.84615385
St. Francis NY,NEC,28,14,45.9,50.5,21.1,19.6,30.9,31.8,31.1,31.6,N/A,N/A,50
North Florida,ASun,29,14,53.3,52.4,17.3,14,26.2,32.9,28.4,23.5,N/A,N/A,48.27586207
High Point,BSth,29,14,50.2,50.7,19.6,16.3,30.8,32,38.7,35.3,N/A,N/A,48.27586207
Stonehill,NEC,30,14,50.9,50.2,19.7,19.8,19.1,31.4,32.2,27.3,N/A,N/A,46.66666667
Butler,BE,32,14,49.5,50.1,17.6,18.6,20,30.3,25.9,22.6,N/A,N/A,43.75
Air Force,MWC,32,14,54.2,49.3,19,17.1,22.3,28.6,31.2,35.2,N/A,N/A,43.75
South Florida,Amer,32,14,50.8,49.8,19.6,18.7,33,27.8,30.7,37.1,N/A,N/A,43.75
UTEP,CUSA,30,14,48.6,51.1,22.9,22.9,33.3,29.7,38.8,37.3,N/A,N/A,46.66666667
St. Bonaventure,A10,32,14,49.2,48.6,18.8,19.4,27.5,29.2,29.5,40.9,N/A,N/A,43.75
FIU,CUSA,30,14,52.1,52.1,20.6,22.8,25.5,36.7,28.7,30.6,N/A,N/A,46.66666667
Northern Iowa,MVC,31,14,51.3,53.8,17.7,18.2,22.6,22.4,31.1,26.5,N/A,N/A,45.16129032
Sacramento St.,BSky,30,14,50.8,52.2,20.8,14.5,32.9,24,27.5,25.8,N/A,N/A,46.66666667
Saint Peter's,MAAC,31,14,43.9,49.5,19.5,19.7,36.4,30.6,28.4,51.4,N/A,N/A,45.16129032
Mercer,SC,31,14,48.9,48.8,18.2,17.4,30.4,27.6,28.6,35.9,N/A,N/A,45.16129032
